City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,neiafu,-18.65,-173.9833,24.38,83,75,2.57,TO,1686611232
256,brantford,43.1334,-80.2664,16.21,84,100,4.02,CA,1686611068
257,xuddur,4.1213,43.8894,21.87,73,62,8.61,SO,1686611232
258,mount darwin,-16.7725,31.5838,13.61,57,2,1.06,ZW,1686611232
259,san martin de los andes,-40.1604,-71.3486,-0.2,92,6,0.34,AR,1686611232
260,sinabang,2.4803,96.3801,26.39,81,76,0.33,ID,1686610960
261,bodo,67.28,14.405,8.3,92,75,9.26,NO,1686611233
262,namibe,-15.1961,12.1522,16.81,75,3,1.96,AO,1686611233
263,zaragoza,41.6561,-0.8773,21.12,68,20,2.06,ES,1686611210
264,west bay,19.3667,-81.4167,30.04,76,20,4.63,KY,1686611233
265,palmer,42.1584,-72.3287,23.97,56,75,4.12,US,1686611233
266,guozhen,34.3659,107.359,21.53,52,1,1.6,CN,1686611233
267,zaozersk,69.4005,32.4476,11.09,76,100,4.24,RU,1686611233
268,bardai,11.65,7.2333,23.53,80,86,4.48,NG,1686611233
269,ghanzi,-21.5667,21.7833,9.49,52,1,4.31,BW,1686611234
270,chandauli,25.2667,83.2667,33.03,28,49,2.14,IN,1686611234
271,college,64.8569,-147.8028,17.27,40,75,5.14,US,1686611234
272,noumea,-22.2763,166.4572,22.22,99,0,5.6,NC,1686610802
273,port kembla,-34.4667,150.9,15.29,73,14,2.73,AU,1686611234
274,talnakh,69.4865,88.3972,7.34,93,99,3.28,RU,1686611234
275,massawa,15.6097,39.45,33.24,53,69,4.35,ER,1686611234
276,vikhorevka,56.1201,101.1636,10.77,92,100,1.93,RU,1686611235
277,colonel hill,22.7667,-74.2167,28.14,84,100,5.09,BS,1686611235
278,road town,18.4167,-64.6167,29.05,74,20,3.6,VG,1686611040
279,syktyvkar,61.6764,50.8099,9.95,81,20,3.13,RU,1686611235
280,sittwe,20.15,92.9,26.93,86,98,4.25,MM,1686611235
281,amol,36.4696,52.3507,23.4,74,4,0.56,IR,1686611235
282,polyarnyy,69.1989,33.4478,10.44,93,100,3.21,RU,1686610997
283,la'ie,21.6477,-157.9253,31.98,69,54,7.63,US,1686611235
284,sunne,59.8376,13.143,15.23,55,100,0.42,SE,1686611236
285,general acha,-37.377,-64.6043,6.47,34,0,2.34,AR,1686611236
286,ratnagiri,16.9833,73.3,28.13,80,84,6.41,IN,1686611236
